gap_s,p_undercut,pitLoss_s,outLapDelta_s,success_margin_s
0.500000,0.000000,24.914568,0.503847,-24.820415
1.000000,0.000000,24.914568,0.503847,-24.320415
1.500000,0.000000,24.914568,0.503847,-23.820415
2.000000,0.000000,24.914568,0.503847,-23.320415
2.500000,0.000000,24.914568,0.503847,-22.820415
3.000000,0.000000,24.914568,0.503847,-22.320415
3.500000,0.000000,24.914568,0.503847,-21.820415
4.000000,0.000000,24.914568,0.503847,-21.320415
4.500000,0.000000,24.914568,0.503847,-20.820415
5.000000,0.000000,24.914568,0.503847,-20.320415
5.500000,0.000000,24.914568,0.503847,-19.820415
6.000000,0.000000,24.914568,0.503847,-19.320415
6.500000,0.000000,24.914568,0.503847,-18.820415
7.000000,0.000000,24.914568,0.503847,-18.320415
7.500000,0.000000,24.914568,0.503847,-17.820415
8.000000,0.000000,24.914568,0.503847,-17.320415
8.500000,0.000000,24.914568,0.503847,-16.820415
9.000000,0.000000,24.914568,0.503847,-16.320415
9.500000,0.000000,24.914568,0.503847,-15.820415
10.000000,0.000000,24.914568,0.503847,-15.320415
10.500000,0.000000,24.914568,0.503847,-14.820415
11.000000,0.000000,24.914568,0.503847,-14.320415
11.500000,0.000000,24.914568,0.503847,-13.820415
12.000000,0.000000,24.914568,0.503847,-13.320415
12.500000,0.000000,24.914568,0.503847,-12.820415
13.000000,0.000000,24.914568,0.503847,-12.320415
13.500000,0.000000,24.914568,0.503847,-11.820415
14.000000,0.000000,24.914568,0.503847,-11.320415
14.500000,0.000000,24.914568,0.503847,-10.820415
15.000000,0.000000,24.914568,0.503847,-10.320415
15.500000,0.000000,24.914568,0.503847,-9.820415
16.000000,0.000000,24.914568,0.503847,-9.320415
16.500000,0.000500,24.914568,0.503847,-8.820415
17.000000,0.001500,24.914568,0.503847,-8.320415
17.500000,0.003000,24.914568,0.503847,-7.820415
18.000000,0.005000,24.914568,0.503847,-7.320415
18.500000,0.009500,24.914568,0.503847,-6.820415
19.000000,0.016000,24.914568,0.503847,-6.320415
19.500000,0.026000,24.914568,0.503847,-5.820415
20.000000,0.038500,24.914568,0.503847,-5.320415
20.500000,0.059000,24.914568,0.503847,-4.820415
21.000000,0.081000,24.914568,0.503847,-4.320415
21.500000,0.107000,24.914568,0.503847,-3.820415
22.000000,0.139500,24.914568,0.503847,-3.320415
22.500000,0.178000,24.914568,0.503847,-2.820415
23.000000,0.222000,24.914568,0.503847,-2.320415
23.500000,0.272000,24.914568,0.503847,-1.820415
24.000000,0.324000,24.914568,0.503847,-1.320415
24.500000,0.393000,24.914568,0.503847,-0.820415
25.000000,0.457500,24.914568,0.503847,-0.320415
25.500000,0.524500,24.914568,0.503847,0.179585
26.000000,0.587500,24.914568,0.503847,0.679585
26.500000,0.656500,24.914568,0.503847,1.179585
27.000000,0.717000,24.914568,0.503847,1.679585
27.500000,0.766500,24.914568,0.503847,2.179585
28.000000,0.812000,24.914568,0.503847,2.679585
28.500000,0.859500,24.914568,0.503847,3.179585
29.000000,0.894000,24.914568,0.503847,3.679585
29.500000,0.919500,24.914568,0.503847,4.179585
30.000000,0.941000,24.914568,0.503847,4.679585
